product_category,department,center_id,total_units,sold_units,unsold_units,frozen_capital,holding_cost_to_cutoff,avg_holding_days_unsold,aged_180_units,aged_365_units,aged_180_cost,aged_365_cost,sell_through_pct,dc_name,category_revenue,category_gross_profit,gross_margin_pct,status_leakage_value,category_quadrant,category_revenue_share_pct,category_cumulative_revenue_share_pct,abc_class,inventory_action
Jeans,Women,4,2495,898,1597,51720.62301966809,25631.302957066924,747.776507936508,1376,1195,44328.747923113304,37961.47408813654,36.0,Los Angeles CA,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Outerwear & Coats,Men,4,1199,421,778,51454.03117487579,24090.463203688803,718.1708278580815,668,559,44147.0225321929,36038.13104467613,35.1,Los Angeles CA,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Rebalance allocation by DC
Sweaters,Men,2,1728,618,1110,49689.09053011999,25072.117687306243,744.855575868373,962,818,43058.90224286525,36789.85252609093,35.8,Chicago IL,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Rebalance allocation by DC
Fashion Hoodies & Sweatshirts,Men,4,2432,864,1568,50021.03943517508,24619.720888118296,728.2687338501293,1348,1163,42974.01984228934,37083.29628690017,35.5,Los Angeles CA,330259.8802957535,158598.71106277095,48.0,270305.75012874603,Cash Cow,5.971760569947093,43.73836054559821,A,Rebalance allocation by DC
Accessories,Men,2,2579,931,1648,48321.30217300369,24166.234261000285,729.2516881522406,1452,1223,42677.893474315104,36359.97430458718,36.1,Chicago IL,214661.27991735935,128532.66199487017,59.9,174792.2998701334,Problem Child,3.8815061828184922,84.59232214190004,B,Markdown with margin guardrail
Suits & Sport Coats,Men,8,1864,673,1191,49853.306987845834,24432.181603697358,734.6786018755329,1023,894,42650.899835837474,37291.2220663797,36.1,Mobile AL,333854.94957733154,199611.90367731234,59.8,275422.9497528076,Star,6.036766628093574,37.76659997565112,A,Monitor
Tops & Tees,Men,3,2645,951,1694,50150.73295932305,24727.902812142805,734.3864589574596,1461,1246,42615.97193835963,36772.73548262203,36.0,Houston TX,248486.6007578373,109427.07970071632,44.0,204702.05077409744,Cash Cow,4.49313577912333,63.74538445378277,A,Monitor
Intimates,Women,8,3486,1257,2229,48857.47094154155,23598.036058742346,720.5112025605853,1901,1620,41591.42147566724,35134.68651557792,36.1,Mobile AL,235863.64027023315,110396.67692278422,46.8,192076.66029024124,Cash Cow,4.26488735352477,76.65936695202018,A,Monitor
Suits & Sport Coats,Men,6,1881,664,1217,47815.42869432815,23489.44005278652,730.9555741827326,1056,908,41579.08294133014,35514.460676449846,35.3,Port Authority of New York/New Jersey NY/NJ,333854.94957733154,199611.90367731234,59.8,275422.9497528076,Star,6.036766628093574,37.76659997565112,A,Rebalance allocation by DC
Dresses,Women,1,2416,901,1515,47204.61534885383,23890.44563528456,746.2567024128687,1313,1123,41491.091362093284,35822.444527327236,37.3,Memphis TN,240309.79059791565,132020.39304571736,54.9,191377.90044689178,Star,4.345282662791929,68.09066711657469,A,Monitor
Suits & Sport Coats,Men,10,1095,391,704,48518.02655246107,24415.614588491713,753.3477633477634,615,530,41349.25344799166,36260.211096665815,35.7,Savannah GA,333854.94957733154,199611.90367731234,59.8,275422.9497528076,Star,6.036766628093574,37.76659997565112,A,Rebalance allocation by DC
Pants,Men,7,2823,1020,1803,47351.49896363689,23427.18840161707,746.550365785031,1551,1335,40274.145938100984,34533.83805246707,36.1,Philadelphia PA,224059.73053073883,121250.22365331609,54.1,181952.95076560974,Star,4.051449007061368,80.71081595908154,B,Markdown with margin guardrail
Pants,Men,8,1724,640,1084,45585.68924446168,22841.97190780222,740.0204841713222,942,819,39808.098328203036,34740.66900596334,37.1,Mobile AL,224059.73053073883,121250.22365331609,54.1,181952.95076560974,Star,4.051449007061368,80.71081595908154,B,Markdown with margin guardrail
Jeans,Men,2,1366,504,862,44119.82447543514,22261.027158984558,742.3474178403756,754,638,38827.324394926385,32734.503979969224,36.9,Chicago IL,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Fashion Hoodies & Sweatshirts,Men,2,1988,707,1281,44223.3104271517,22184.967700095658,742.5859872611464,1110,957,38650.77429637808,33455.0865350941,35.6,Chicago IL,330259.8802957535,158598.71106277095,48.0,270305.75012874603,Cash Cow,5.971760569947093,43.73836054559821,A,Rebalance allocation by DC
Sweaters,Women,1,1771,629,1142,46337.151272691546,22582.136187757227,725.2132024977699,961,818,38539.09839514413,32686.31277394195,35.5,Memphis TN,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Rebalance allocation by DC
Swim,Men,1,2465,899,1566,45410.95898554917,22505.102262123277,740.9441195581546,1339,1147,38436.607464884124,32889.49379662818,36.5,Memphis TN,326056.0803012848,159365.4344071027,48.9,274109.7404088974,Cash Cow,5.8957474404430465,49.63410798604126,A,Monitor
Fashion Hoodies & Sweatshirts,Men,1,2072,746,1326,43875.52312904193,21978.420869035817,741.3177641653905,1158,987,38346.1250560334,32737.612928441224,36.0,Memphis TN,330259.8802957535,158598.71106277095,48.0,270305.75012874603,Cash Cow,5.971760569947093,43.73836054559821,A,Monitor
Sweaters,Men,5,1397,503,894,42646.65656726235,20781.339143626676,726.8447488584475,771,663,36849.40841946625,31915.54504343663,36.0,New Orleans LA,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Monitor
Underwear,Men,3,4945,1814,3131,42093.26404976829,21347.60227295481,749.8461290322581,2729,2333,36596.45408154518,31324.806039304625,36.7,Houston TX,106327.60012149811,56382.6766645938,53.0,82975.33014774323,Problem Child,1.9226161207775032,91.60950662561201,B,Markdown with margin guardrail
Outerwear & Coats,Women,7,1411,513,898,42205.70086052259,20975.81053960224,747.6884139482564,784,672,36527.284071462964,31059.400630754633,36.4,Philadelphia PA,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Shorts,Men,1,2963,1073,1890,41838.38409576536,20373.073239898138,728.4412081984898,1643,1379,36225.91229033849,30467.93473349107,36.2,Memphis TN,255821.1708164215,127757.9467316373,49.9,220251.72066402435,Cash Cow,4.625759506335196,59.25224867465944,A,Monitor
Plus,Women,2,2650,964,1686,41059.917234586675,20923.711947821346,734.7978404319136,1452,1265,36211.18821602844,31378.055399032903,36.4,Chicago IL,86355.54025483131,43132.80789667264,49.9,67264.9401115179,Dog,1.5614812487319594,94.91417880414552,B,Markdown with margin guardrail
Outerwear & Coats,Women,4,884,325,559,40897.093712121736,20795.666008647466,753.9343065693431,493,432,35653.561341333574,31321.36660788469,36.8,Los Angeles CA,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Jeans,Men,3,1921,705,1216,41533.162984998344,20635.729575262743,742.5680868838764,1044,894,35651.311456751086,30428.76456894815,36.7,Houston TX,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Fashion Hoodies & Sweatshirts,Men,7,1776,630,1146,40584.516436851234,20384.501492732743,753.6430469441984,1005,866,35494.40081066343,30097.626771585532,35.5,Philadelphia PA,330259.8802957535,158598.71106277095,48.0,270305.75012874603,Cash Cow,5.971760569947093,43.73836054559821,A,Rebalance allocation by DC
Jeans,Women,2,1134,413,721,40907.22922315512,19900.17234044606,729.6438547486033,627,538,35288.494393790155,30012.18275056774,36.4,Chicago IL,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Pants,Men,6,2890,1042,1848,40629.071590859116,20328.51600428173,738.9857534246576,1593,1370,35244.76762204089,30238.116382543674,36.1,Port Authority of New York/New Jersey NY/NJ,224059.73053073883,121250.22365331609,54.1,181952.95076560974,Star,4.051449007061368,80.71081595908154,B,Markdown with margin guardrail
Pants,Men,4,1939,713,1226,39279.45766674018,19958.13711530164,747.961316872428,1075,930,34634.36888987945,29681.67023865701,36.8,Los Angeles CA,224059.73053073883,121250.22365331609,54.1,181952.95076560974,Star,4.051449007061368,80.71081595908154,B,Markdown with margin guardrail
Tops & Tees,Men,1,2830,1023,1807,38935.097367497605,20403.99463328532,763.996062992126,1592,1372,34256.49068025922,29783.266566953735,36.1,Memphis TN,248486.6007578373,109427.07970071632,44.0,204702.05077409744,Cash Cow,4.49313577912333,63.74538445378277,A,Monitor
Sweaters,Men,7,1647,589,1058,39916.705854343825,19668.992217747153,743.4007707129094,906,769,34081.175150779396,28887.386154002474,35.8,Philadelphia PA,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Rebalance allocation by DC
Intimates,Women,6,2688,983,1705,37948.40942773734,18843.855971791552,733.3519619500595,1503,1276,33794.689104927,28570.29999117207,36.6,Port Authority of New York/New Jersey NY/NJ,235863.64027023315,110396.67692278422,46.8,192076.66029024124,Cash Cow,4.26488735352477,76.65936695202018,A,Monitor
Sleep & Lounge,Women,7,1461,528,933,36907.09137782942,18625.46717613318,737.3680781758958,811,694,32529.100889325335,27687.27776101877,36.1,Philadelphia PA,276096.6707119942,142188.54965713344,51.5,220073.32058119774,Star,4.992381182282991,54.62648916832425,A,Monitor
Pants & Capris,Women,3,1493,552,941,36702.984064617536,18432.629485418456,747.6169527896996,831,715,32472.388089777312,27927.09676046467,37.0,Houston TX,96404.74045562744,45649.84707878008,47.4,78036.77029800415,Dog,1.7431909298015382,93.35269755541356,B,Markdown with margin guardrail
Swim,Women,1,2257,813,1444,37684.71530504238,18490.0318577749,735.2863187588152,1248,1076,32331.084420987307,27825.68904351507,36.0,Memphis TN,326056.0803012848,159365.4344071027,48.9,274109.7404088974,Cash Cow,5.8957474404430465,49.63410798604126,A,Monitor
Underwear,Men,10,4680,1684,2996,37231.00293645091,18565.380081588897,732.9789830508474,2585,2218,32204.122838316543,27813.24715370386,36.0,Savannah GA,106327.60012149811,56382.6766645938,53.0,82975.33014774323,Problem Child,1.9226161207775032,91.60950662561201,B,Markdown with margin guardrail
Dresses,Women,2,1251,451,800,37201.9076094964,18481.70721420657,726.4479695431472,683,591,32131.336708796014,27997.07328738316,36.1,Chicago IL,240309.79059791565,132020.39304571736,54.9,191377.90044689178,Star,4.345282662791929,68.09066711657469,A,Monitor
Shorts,Men,9,2356,851,1505,36720.15594678813,18932.439743792533,736.954054054054,1300,1109,31993.301721375476,27270.085675235678,36.1,Charleston SC,255821.1708164215,127757.9467316373,49.9,220251.72066402435,Cash Cow,4.625759506335196,59.25224867465944,A,Monitor
Intimates,Women,10,3283,1171,2112,36851.97873980558,17942.8849763956,727.1919385796546,1818,1560,31920.725653079928,27430.562452710234,35.7,Savannah GA,235863.64027023315,110396.67692278422,46.8,192076.66029024124,Cash Cow,4.26488735352477,76.65936695202018,A,Rebalance allocation by DC
Accessories,Men,8,1761,641,1120,36195.43911943845,18802.462017493555,757.587488667271,973,850,31573.63261616439,27623.776903035836,36.4,Mobile AL,214661.27991735935,128532.66199487017,59.9,174792.2998701334,Problem Child,3.8815061828184922,84.59232214190004,B,Markdown with margin guardrail
Suits & Sport Coats,Men,4,1444,540,904,36464.29477560538,17711.266923333686,735.7544642857143,787,678,31418.325611794036,26085.251267140895,37.4,Los Angeles CA,333854.94957733154,199611.90367731234,59.8,275422.9497528076,Star,6.036766628093574,37.76659997565112,A,Monitor
Dresses,Women,8,1266,454,812,36895.79327604907,18022.351040666785,728.564617314931,690,589,31342.495848222014,26843.05596634834,35.9,Mobile AL,240309.79059791565,132020.39304571736,54.9,191377.90044689178,Star,4.345282662791929,68.09066711657469,A,Rebalance allocation by DC
Active,Women,1,2236,793,1443,36457.84494602266,18028.27896756579,735.6300984528833,1230,1048,31189.09836272192,25720.831623462913,35.5,Memphis TN,238016.34014725685,138463.49740212064,58.2,194656.21015286446,Star,4.303812481920711,72.39447959849541,A,Rebalance allocation by DC
Shorts,Men,6,2077,764,1313,35793.63674472088,17395.10801603035,716.9119691119691,1143,945,31107.464324825625,25749.679179879844,36.8,Port Authority of New York/New Jersey NY/NJ,255821.1708164215,127757.9467316373,49.9,220251.72066402435,Cash Cow,4.625759506335196,59.25224867465944,A,Monitor
Jeans,Men,5,1633,586,1047,36385.44041703451,17833.197013475427,728.3552758954502,900,775,31043.53937180496,26681.34060172203,35.9,New Orleans LA,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Rebalance allocation by DC
Fashion Hoodies & Sweatshirts,Men,9,2396,859,1537,34798.48604462278,17397.796623707243,739.423102310231,1340,1143,30171.72715770765,25683.472963400225,35.9,Charleston SC,330259.8802957535,158598.71106277095,48.0,270305.75012874603,Cash Cow,5.971760569947093,43.73836054559821,A,Rebalance allocation by DC
Accessories,Women,2,2119,761,1358,34162.193290407035,16473.228255823204,723.71964017991,1177,1019,30164.964244981362,26261.887782640133,35.9,Chicago IL,214661.27991735935,128532.66199487017,59.9,174792.2998701334,Problem Child,3.8815061828184922,84.59232214190004,B,Markdown with margin guardrail
Sleep & Lounge,Men,7,2002,727,1275,34947.900231601,16983.56931150796,730.7648927720413,1101,940,30044.330204301765,25586.108073998617,36.3,Philadelphia PA,276096.6707119942,142188.54965713344,51.5,220073.32058119774,Star,4.992381182282991,54.62648916832425,A,Monitor
Fashion Hoodies & Sweatshirts,Men,6,1664,603,1061,34214.833296980796,17434.239618031992,754.4336538461539,927,790,30038.882506740927,25649.470648692193,36.2,Port Authority of New York/New Jersey NY/NJ,330259.8802957535,158598.71106277095,48.0,270305.75012874603,Cash Cow,5.971760569947093,43.73836054559821,A,Monitor
Tops & Tees,Men,8,2145,788,1357,33728.07703788298,16976.458862161526,730.4366616989568,1180,999,29527.041218223614,25244.30462063695,36.7,Mobile AL,248486.6007578373,109427.07970071632,44.0,204702.05077409744,Cash Cow,4.49313577912333,63.74538445378277,A,Monitor
Sweaters,Women,3,1306,469,837,34287.970381742576,16421.03050466995,711.2876213592233,709,604,29009.5420441917,24594.133858722897,35.9,Houston TX,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Rebalance allocation by DC
Tops & Tees,Men,4,2485,889,1596,33561.5208445873,16415.502508286943,727.7660521296885,1372,1166,28879.1665863281,24475.032803098653,35.8,Los Angeles CA,248486.6007578373,109427.07970071632,44.0,204702.05077409744,Cash Cow,4.49313577912333,63.74538445378277,A,Rebalance allocation by DC
Pants,Men,2,1753,644,1109,33461.898886520205,16771.119741046587,760.0979853479854,962,836,28873.18727246587,24835.938077154795,36.7,Chicago IL,224059.73053073883,121250.22365331609,54.1,181952.95076560974,Star,4.051449007061368,80.71081595908154,B,Markdown with margin guardrail
Pants,Men,1,1933,691,1242,33343.440424408036,16207.009502755833,721.8655737704918,1071,894,28732.717220851286,24249.679011051296,35.7,Memphis TN,224059.73053073883,121250.22365331609,54.1,181952.95076560974,Star,4.051449007061368,80.71081595908154,B,Markdown with margin guardrail
Outerwear & Coats,Women,2,829,301,528,32801.618944037604,16342.84988138523,732.8153846153846,460,390,28583.688383222863,24459.993968567032,36.3,Chicago IL,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Tops & Tees,Men,7,2473,886,1587,33562.66716400396,16276.14318381886,713.3320512820513,1357,1142,28518.25537591181,24140.91408428196,35.8,Philadelphia PA,248486.6007578373,109427.07970071632,44.0,204702.05077409744,Cash Cow,4.49313577912333,63.74538445378277,A,Rebalance allocation by DC
Tops & Tees,Men,6,2447,879,1568,32455.96345016501,16127.260421241956,734.7529032258064,1362,1174,28237.992510692042,24399.05928467229,35.9,Port Authority of New York/New Jersey NY/NJ,248486.6007578373,109427.07970071632,44.0,204702.05077409744,Cash Cow,4.49313577912333,63.74538445378277,A,Rebalance allocation by DC
Sleep & Lounge,Women,1,1846,670,1176,32444.0537966391,16210.606445508292,746.4088159031979,1021,891,28104.27968507323,24457.209996056445,36.3,Memphis TN,276096.6707119942,142188.54965713344,51.5,220073.32058119774,Star,4.992381182282991,54.62648916832425,A,Monitor
Active,Men,1,2150,767,1383,31896.915679266098,15774.451068435483,720.809663250366,1198,995,27831.70155967141,22769.66519800624,35.7,Memphis TN,238016.34014725685,138463.49740212064,58.2,194656.21015286446,Star,4.303812481920711,72.39447959849541,A,Rebalance allocation by DC
Sweaters,Men,10,1082,392,690,32023.044278421887,15521.558779643687,734.8924889543446,605,515,27758.120743617892,23337.62337321489,36.2,Savannah GA,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Monitor
Pants,Men,3,1727,624,1103,32010.918854684525,15745.209402554834,730.2255985267035,955,806,27610.66400708521,23529.196710682707,36.1,Houston TX,224059.73053073883,121250.22365331609,54.1,181952.95076560974,Star,4.051449007061368,80.71081595908154,B,Markdown with margin guardrail
Tops & Tees,Women,1,2092,754,1338,31312.671270190567,15762.939323896624,736.1817496229261,1166,994,27406.975592828847,23303.199504088556,36.0,Memphis TN,248486.6007578373,109427.07970071632,44.0,204702.05077409744,Cash Cow,4.49313577912333,63.74538445378277,A,Monitor
