product_category,department,center_id,abc_class,discount_pct,price_elasticity,expected_sell_through_pct,markdown_price,net_incremental_value,recommended_action
Plus,Women,8,B,15.0,-1.0014672674409137,35.02200901161371,49.41516514086568,5559.810021170158,Markdown with guardrail
Accessories,Women,3,B,15.0,-0.5309560375138809,27.964340562708212,45.885931687975834,5466.604502102173,Markdown with guardrail
Accessories,Men,3,B,15.0,-0.5309560375138809,27.964340562708212,31.418990056912513,5408.782508222123,Markdown with guardrail
Skirts,Women,1,C,20.0,-1.0014672674409137,40.02934534881828,52.35083165066826,5391.654476049278,Markdown with guardrail
Maternity,Women,7,B,10.0,-0.3,23.0,50.79585938670419,5220.8605988043055,Markdown with guardrail
Pants & Capris,Women,2,B,15.0,-1.0014672674409137,35.02200901161371,43.58593327465855,5018.272335438255,Markdown with guardrail
Underwear,Men,9,B,25.0,-2.284396592085347,77.10991480213367,19.28128702253211,5009.417983907726,Markdown with guardrail
Pants & Capris,Women,1,B,15.0,-1.0014672674409137,35.02200901161371,57.234525887719506,4908.713488014347,Markdown with guardrail
Socks & Hosiery,Women,2,C,25.0,-1.274368522037049,51.85921305092622,12.046118605501565,4683.784983470976,Markdown with guardrail
Blazers & Jackets,Women,6,B,25.0,-1.0014672674409137,45.036681686022845,102.8660577902427,4604.728461697513,Markdown with guardrail
Pants,Men,9,B,20.0,-1.0014672674409137,40.02934534881828,19.66454837685692,4544.312890005585,Markdown with guardrail
Blazers & Jackets,Women,10,B,25.0,-1.0014672674409137,45.036681686022845,143.07331557997634,4389.793356059287,Markdown with guardrail
Maternity,Women,8,B,10.0,-0.3,23.0,47.079663140098596,4272.405004428053,Markdown with guardrail
Blazers & Jackets,Women,7,B,25.0,-1.0014672674409137,45.036681686022845,62.009999432871425,4266.373021108529,Markdown with guardrail
Suits,Women,3,C,15.0,-1.0014672674409137,35.02200901161371,103.42150387900216,4235.976878435326,Markdown with guardrail
Suits,Women,9,C,15.0,-1.0014672674409137,35.02200901161371,118.40992022569544,4205.128811659303,Markdown with guardrail
Maternity,Women,9,B,10.0,-0.3,23.0,44.42691457181037,4149.174101890751,Markdown with guardrail
Maternity,Women,5,B,10.0,-0.3,23.0,54.24970016681815,4021.4451493069373,Markdown with guardrail
Accessories,Men,1,B,15.0,-0.5309560375138809,27.964340562708212,20.263976690664396,3918.9571101594574,Markdown with guardrail
Underwear,Men,5,B,25.0,-2.284396592085347,77.10991480213367,19.84423411704223,3838.0244242363237,Markdown with guardrail
Pants & Capris,Women,9,B,15.0,-1.0014672674409137,35.02200901161371,33.737149644039505,3830.707305090496,Markdown with guardrail
Suits,Women,1,C,15.0,-1.0014672674409137,35.02200901161371,76.6391128664957,3807.6521077239317,Markdown with guardrail
Socks,Men,7,C,15.0,-1.0014672674409137,35.02200901161371,22.39026539008892,3794.3028232290367,Markdown with guardrail
Plus,Women,5,B,20.0,-1.0014672674409137,40.02934534881828,22.16684873437606,3729.509424749161,Markdown with guardrail
Blazers & Jackets,Women,8,B,25.0,-1.0014672674409137,45.036681686022845,55.23612707031184,3597.2586614174843,Markdown with guardrail
Pants & Capris,Women,5,B,15.0,-1.0014672674409137,35.02200901161371,40.216801776154554,3550.4674625288653,Markdown with guardrail
Underwear,Men,6,B,25.0,-2.284396592085347,77.10991480213367,24.614549184431795,3504.55311329362,Markdown with guardrail
Pants & Capris,Women,7,B,15.0,-1.0014672674409137,35.02200901161371,60.40132000987332,3436.877570894129,Markdown with guardrail
Plus,Women,7,B,20.0,-1.0014672674409137,40.02934534881828,43.08440002245781,3404.695767323106,Markdown with guardrail
Maternity,Women,1,B,10.0,-0.3,23.0,39.89518437819047,3306.0508548803436,Markdown with guardrail
Socks,Men,2,C,15.0,-1.0014672674409137,35.02200901161371,16.1651506702604,3276.194923245672,Markdown with guardrail
Underwear,Men,8,B,25.0,-2.284396592085347,77.10991480213367,17.25332479329453,3149.3678937212735,Markdown with guardrail
Maternity,Women,6,B,10.0,-0.3,23.0,65.83765885748927,3144.1128419150778,Markdown with guardrail
Underwear,Men,7,B,25.0,-2.284396592085347,77.10991480213367,16.186505779451384,3108.1626690222106,Markdown with guardrail
Skirts,Women,5,C,20.0,-1.0014672674409137,40.02934534881828,35.004937646789124,3087.6585962252516,Markdown with guardrail
Socks,Men,3,C,15.0,-1.0014672674409137,35.02200901161371,15.40858451480597,3038.7976122632467,Markdown with guardrail
Maternity,Women,4,B,10.0,-0.3,23.0,50.16995777176087,3031.853009182809,Markdown with guardrail
Socks,Men,1,C,15.0,-1.0014672674409137,35.02200901161371,18.56527782833602,3019.8688892282426,Markdown with guardrail
Suits,Women,7,C,15.0,-1.0014672674409137,35.02200901161371,104.58740776845984,2965.3311126157664,Markdown with guardrail
Pants & Capris,Women,8,B,15.0,-1.0014672674409137,35.02200901161371,51.404364996358574,2927.5624964423014,Markdown with guardrail
Plus,Women,3,B,20.0,-1.0014672674409137,40.02934534881828,23.333560901734888,2820.055107844785,Markdown with guardrail
Accessories,Men,10,B,15.0,-0.5309560375138809,27.964340562708212,28.47808923139279,2813.7530034111637,Markdown with guardrail
Plus,Women,1,B,20.0,-1.0014672674409137,40.02934534881828,26.95960735720886,2797.2789143434334,Markdown with guardrail
Leggings,Women,1,C,15.0,-1.0014672674409137,35.02200901161371,23.753238936806703,2774.5845344300446,Markdown with guardrail
Skirts,Women,2,C,20.0,-1.0014672674409137,40.02934534881828,42.40234301703317,2761.9685867256912,Markdown with guardrail
Socks & Hosiery,Women,3,C,25.0,-1.274368522037049,51.85921305092622,15.940558314538993,2705.226232205106,Markdown with guardrail
Accessories,Men,5,B,15.0,-0.5309560375138809,27.964340562708212,33.50235349320685,2686.731343050844,Markdown with guardrail
Blazers & Jackets,Women,4,B,25.0,-1.0014672674409137,45.036681686022845,78.18740745827004,2604.538414121284,Markdown with guardrail
Socks & Hosiery,Women,1,C,25.0,-1.274368522037049,51.85921305092622,14.508391416504095,2565.056641883299,Markdown with guardrail
Underwear,Men,4,B,25.0,-2.284396592085347,77.10991480213367,21.368644690096662,2559.557744620391,Markdown with guardrail
Socks,Men,6,C,15.0,-1.0014672674409137,35.02200901161371,15.626691805333762,2534.2859900093117,Markdown with guardrail
Skirts,Women,8,C,20.0,-1.0014672674409137,40.02934534881828,35.44073480100048,2525.513126883279,Markdown with guardrail
Socks & Hosiery,Women,4,C,25.0,-1.274368522037049,51.85921305092622,12.56737549110775,2524.512521159143,Markdown with guardrail
Accessories,Men,4,B,15.0,-0.5309560375138809,27.964340562708212,19.32376431147148,2509.850654348891,Markdown with guardrail
Accessories,Men,7,B,15.0,-0.5309560375138809,27.964340562708212,18.60567185578714,2492.9440468894786,Markdown with guardrail
Skirts,Women,9,C,20.0,-1.0014672674409137,40.02934534881828,32.18245328592416,2471.03207072465,Markdown with guardrail
Skirts,Women,7,C,20.0,-1.0014672674409137,40.02934534881828,30.472260954957576,2411.6271482029942,Markdown with guardrail
Accessories,Women,4,B,15.0,-0.5309560375138809,27.964340562708212,25.298622494098986,2200.5846712108655,Markdown with guardrail
Pants & Capris,Women,10,B,15.0,-1.0014672674409137,35.02200901161371,45.816298043483684,2173.766849406635,Markdown with guardrail
Plus,Women,6,B,20.0,-1.0014672674409137,40.02934534881828,24.171924283166927,2152.4456021188425,Markdown with guardrail
Leggings,Women,2,C,15.0,-1.0014672674409137,35.02200901161371,17.082143056166142,2124.446309010535,Markdown with guardrail
Socks,Men,10,C,15.0,-1.0014672674409137,35.02200901161371,49.93370603499664,2124.111469716021,Markdown with guardrail
Skirts,Women,4,C,20.0,-1.0014672674409137,40.02934534881828,41.83444844808923,2114.623102501291,Markdown with guardrail
Accessories,Women,7,B,15.0,-0.5309560375138809,27.964340562708212,32.854374040925194,2062.0442135655303,Markdown with guardrail
Accessories,Men,6,B,15.0,-0.5309560375138809,27.964340562708212,19.76743084234251,2001.1725861911616,Markdown with guardrail
Pants & Capris,Women,4,B,15.0,-1.0014672674409137,35.02200901161371,36.92577816115485,1996.3329987245077,Markdown with guardrail
Leggings,Women,10,C,15.0,-1.0014672674409137,35.02200901161371,41.903387486988926,1874.3018700496323,Markdown with guardrail
Socks & Hosiery,Women,6,C,25.0,-1.274368522037049,51.85921305092622,13.450246683468945,1825.9518660203398,Markdown with guardrail
Plus,Women,4,B,15.0,-1.0014672674409137,35.02200901161371,23.230328623132866,1817.7937426159683,Markdown with guardrail
Accessories,Women,9,B,15.0,-0.5309560375138809,27.964340562708212,27.307271580065297,1726.7358408864745,Markdown with guardrail
Plus,Women,9,B,15.0,-1.0014672674409137,35.02200901161371,27.141343522035985,1717.7075146939894,Markdown with guardrail
Suits,Women,2,C,15.0,-1.0014672674409137,35.02200901161371,128.0582457412373,1629.8781889125034,Markdown with guardrail
Accessories,Women,10,B,15.0,-0.5309560375138809,27.964340562708212,26.764242009915876,1597.0853727585159,Markdown with guardrail
Leggings,Women,4,C,15.0,-1.0014672674409137,35.02200901161371,25.932825036541423,1587.3635277310755,Markdown with guardrail
Socks & Hosiery,Women,8,C,25.0,-1.274368522037049,51.85921305092622,12.41956623225327,1577.0464378760887,Markdown with guardrail
Skirts,Women,10,C,20.0,-1.0014672674409137,40.02934534881828,36.89102756647774,1545.394750904828,Markdown with guardrail
Jumpsuits & Rompers,Women,9,C,15.0,-1.0014672674409137,35.02200901161371,13.64859787414533,1489.9340812630326,Markdown with guardrail
Suits,Women,10,C,15.0,-1.0014672674409137,35.02200901161371,105.09547809199282,1488.4927259444241,Markdown with guardrail
Accessories,Women,6,B,15.0,-0.5309560375138809,27.964340562708212,22.426551475199485,1480.2769833334073,Markdown with guardrail
Jumpsuits & Rompers,Women,4,C,15.0,-1.0014672674409137,35.02200901161371,74.01076594778833,1365.5828111027752,Markdown with guardrail
Accessories,Women,5,B,15.0,-0.5309560375138809,27.964340562708212,18.71213522578279,1340.1948894562902,Markdown with guardrail
Jumpsuits & Rompers,Women,5,C,15.0,-1.0014672674409137,35.02200901161371,76.82969682722381,1325.0571593492384,Markdown with guardrail
Leggings,Women,5,C,15.0,-1.0014672674409137,35.02200901161371,25.83374247206018,1287.552971288088,Markdown with guardrail
Plus,Women,10,B,20.0,-1.0014672674409137,40.02934534881828,20.428297296949655,1282.706563440453,Markdown with guardrail
Socks,Men,8,C,15.0,-1.0014672674409137,35.02200901161371,13.9459922455148,1274.886609771925,Markdown with guardrail
Socks & Hosiery,Women,5,C,25.0,-1.274368522037049,51.85921305092622,9.642377536613624,1253.0812975062986,Markdown with guardrail
Socks & Hosiery,Women,7,C,25.0,-1.274368522037049,51.85921305092622,10.469362706530328,1229.1695093878604,Markdown with guardrail
Socks,Men,4,C,15.0,-1.0014672674409137,35.02200901161371,13.067467219816407,1178.8715082650288,Markdown with guardrail
Pants & Capris,Women,6,B,15.0,-1.0014672674409137,35.02200901161371,29.872005405550148,1176.9375815600647,Markdown with guardrail
Suits,Women,4,C,15.0,-1.0014672674409137,35.02200901161371,71.32567432438402,1126.6203230661524,Markdown with guardrail
Socks,Men,5,C,15.0,-1.0014672674409137,35.02200901161371,13.36270772101873,1063.0507099116912,Markdown with guardrail
Leggings,Women,7,C,15.0,-1.0014672674409137,35.02200901161371,12.721233864041972,927.0169773179655,Markdown with guardrail
Accessories,Men,9,B,15.0,-0.5309560375138809,27.964340562708212,30.624580869588765,891.1904929389418,Markdown with guardrail
Skirts,Women,6,C,20.0,-1.0014672674409137,40.02934534881828,46.95466675103879,891.0137907045446,Markdown with guardrail
Leggings,Women,3,C,15.0,-1.0014672674409137,35.02200901161371,33.69794821270177,865.748033820582,Markdown with guardrail
Jumpsuits & Rompers,Women,8,C,15.0,-1.0014672674409137,35.02200901161371,44.64463082129645,852.826970331341,Markdown with guardrail
Clothing Sets,Women,8,C,10.0,-1.0014672674409137,30.014672674409137,80.85507324912331,838.3365079626742,Markdown with guardrail
Leggings,Women,6,C,15.0,-1.0014672674409137,35.02200901161371,28.436455269615248,834.5572716326405,Markdown with guardrail
Leggings,Women,8,C,15.0,-1.0014672674409137,35.02200901161371,35.52811121940613,810.4224631722266,Markdown with guardrail
Leggings,Women,9,C,15.0,-1.0014672674409137,35.02200901161371,11.414148279538969,806.1930770814006,Markdown with guardrail
Jumpsuits & Rompers,Women,3,C,15.0,-1.0014672674409137,35.02200901161371,66.97543289612751,794.8775973916078,Markdown with guardrail
Socks & Hosiery,Women,10,C,25.0,-1.274368522037049,51.85921305092622,12.199342093969646,688.1320795721348,Markdown with guardrail
Maternity,Women,10,B,10.0,-0.3,23.0,54.955331042814535,654.1976079581298,Markdown with guardrail
Jumpsuits & Rompers,Women,10,C,15.0,-1.0014672674409137,35.02200901161371,123.9803049710332,535.4322461258564,Markdown with guardrail
Jumpsuits & Rompers,Women,2,C,15.0,-1.0014672674409137,35.02200901161371,53.798685785929365,517.63755006268,Markdown with guardrail
Clothing Sets,Women,1,C,10.0,-1.0014672674409137,30.014672674409137,110.4313037706458,496.79314118568885,Markdown with guardrail
Jumpsuits & Rompers,Women,1,C,15.0,-1.0014672674409137,35.02200901161371,47.52387660203782,485.2503054125525,Markdown with guardrail
Clothing Sets,Women,9,C,15.0,-1.0014672674409137,35.02200901161371,60.239426164459765,470.99455671032047,Markdown with guardrail
Clothing Sets,Women,3,C,15.0,-1.0014672674409137,35.02200901161371,60.01393809434844,356.62173636229386,Markdown with guardrail
Socks & Hosiery,Women,9,C,25.0,-1.274368522037049,51.85921305092622,9.374058504982473,333.10511291730813,Markdown with guardrail
Socks,Men,9,C,15.0,-1.0014672674409137,35.02200901161371,10.151839652386577,313.05999824666833,Markdown with guardrail
Jumpsuits & Rompers,Women,6,C,15.0,-1.0014672674409137,35.02200901161371,60.96336630071912,303.99287199214876,Markdown with guardrail
Jumpsuits & Rompers,Women,7,C,15.0,-1.0014672674409137,35.02200901161371,23.603437446802854,259.1812751039046,Markdown with guardrail
Clothing Sets,Women,2,C,10.0,-1.0014672674409137,30.014672674409137,58.02548172391693,213.33291962751264,Markdown with guardrail
Clothing Sets,Women,5,C,10.0,-1.0014672674409137,30.014672674409137,88.71631405479029,192.01164451464948,Markdown with guardrail
Clothing Sets,Women,6,C,15.0,-1.0014672674409137,35.02200901161371,46.18092567443848,82.89015315440857,Markdown with guardrail
Clothing Sets,Women,4,C,15.0,-1.0014672674409137,35.02200901161371,47.11927920447455,81.87378302918486,Markdown with guardrail
Suits,Women,6,C,10.0,-1.0014672674409137,30.014672674409137,17.99099979400635,39.391296188842624,Markdown with guardrail
